id,faixa_etaria,sexo,estado,cidade,bairro,tempo_desaparecido_dias,cor_olhos,tipo_cabelo,estava_acompanhada,estado_civil,cidade_desaparecimento,data_ocorrido_desaparecimento,encontrado
146,45-59,Masculino,PB,Campina Grande,Nova Brasília,-1.0,Pretos,Nenhuma das opções,Não,Solteiro (a),Desconhecido,Desconhecido,0
147,45-59,Masculino,PE,Recife,SESI,-1.0,Pretos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
148,30-44,Masculino,PB,João Pessoa,Oitizeiro,1838.0,Castanhos,Ondulados,Sim,Solteiro (a),Bayeux,2020-07-22T02:17:00.000+0000,0
149,60+,Masculino,PB,João Pessoa,Recife,1900.0,Verdes,Lisos,Não,Casado (a),João Pessoa,2020-05-20T23:00:00.000+0000,0
150,18-29,Masculino,PB,SOLANEA,CENTRO,820.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2023-05-06T19:30:00.000+0000,0
151,60+,Masculino,PB,Recife,Mangabeira,996.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),João Pessoa,2022-11-11T11:00:00.000+0000,0
152,18-29,Masculino,SP,Sao Paulo,Planalto Boa Esperança,-1.0,Castanhos,Lisos,Não,União Estável,Desconhecido,Desconhecido,0
153,30-44,Masculino,PB,Campina Grande,São José,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
154,45-59,Feminino,PB,Campina Grande,Malvinas,-1.0,Castanhos,Ondulados,Não,Casado (a),Desconhecido,Desconhecido,0
155,45-59,Masculino,PB,Campina Grande,Dinamérica,-1.0,Castanhos,Lisos,Não,União Estável,Desconhecido,Desconhecido,0
156,30-44,Masculino,PB,Campina Grande,Malvinas,569.0,Castanhos,Encaracolados,Sim,Solteiro (a),Campina Grande,2024-01-12T13:00:00.000+0000,0
157,12-17,Feminino,PB,Campina Grande,Centro,1312.0,Castanhos,Lisos,Não,Solteiro (a),Seridó,2021-12-30T12:10:00.000+0000,0
158,18-29,Masculino,PB,Aroeiras,Centro,-1.0,Pretos,Encaracolados,Não,Solteiro (a),Desconhecido,Desconhecido,0
159,60+,Masculino,PE,Recife,Geremias,13573.0,Pretos,Encaracolados,Não,Solteiro (a),Campina Grande,1988-06-05T05:00:00.000+0000,0
160,45-59,Masculino,PB,Conde,zona rural,1321.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,2021-12-21T15:00:00.000+0000,0
161,30-44,Feminino,PB,Guarabira,Centro,1874.0,Pretos,Ondulados,Não,Solteiro (a),Guarabira,2020-06-16T15:10:00.000+0000,0
162,30-44,Masculino,PB,Campina Grande,Jacumã,869.0,Pretos,Lisos,Não,Casado (a),Conde,2023-03-18T15:00:00.000+0000,0
163,60+,Feminino,PB,João Pessoa,Bancarios,2415.0,Castanhos,Ondulados,Não,Casado (a),João Pessoa,2018-12-23T03:00:00.000+0000,0
164,18-29,Feminino,PB,João Pessoa,colinas do sul,410.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2024-06-19T12:15:00.000+0000,0
165,18-29,Feminino,PB,Campina Grande,Malvinas,1784.0,Castanhos,Encaracolados,Não,Solteiro (a),Campina Grande,2020-09-14T18:00:00.000+0000,0
166,60+,Masculino,PB,Campina Grande,Santa Rosa,698.0,Castanhos,Lisos,Não,Solteiro (a),Campina Grande,2023-09-05T12:30:00.000+0000,0
167,30-44,Masculino,RN,MOSSORÓ,ESTAÇÃO,1946.0,Pretos,Carapinha,Não,Casado (a),Cajazeiras,2020-04-04T23:30:00.000+0000,0
168,18-29,Masculino,PB,SAO JOSE DO SABUGI,CENTRO,836.0,Pretos,Lisos,Não,Solteiro (a),Santa Luzia,2023-04-20T17:00:00.000+0000,0
169,12-17,Masculino,PB,Campina Grande,NAÇÕES,1262.0,Castanhos,Lisos,Não,Solteiro (a),Campina Grande,2022-02-18T17:00:00.000+0000,0
170,45-59,Masculino,PB,Campina Grande,Liberdade,809.0,Castanhos,Lisos,Não,Casado (a),Campina Grande,2023-05-17T00:00:00.000+0000,0
171,12-17,Feminino,PB,Campina Grande,Três Irmãs,-1.0,Castanhos,Encaracolados,Não,Solteiro (a),Desconhecido,Desconhecido,0
172,30-44,Masculino,PB,Campina Grande,Santa Rosa,-1.0,Pretos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
173,18-29,Masculino,PE,Santa Cruz do Capibaribe,Nova Palestina,1639.0,Pretos,Lisos,Não,Casado (a),Campina Grande,2021-02-05T23:22:00.000+0000,0
