id,faixa_etaria,sexo,estado,cidade,bairro,tempo_desaparecido_dias,cor_olhos,tipo_cabelo,estava_acompanhada,estado_civil,cidade_desaparecimento,data_ocorrido_desaparecimento,encontrado
1,18-29,Masculino,PB,Juazeirinho,Arnaldo lafaerty,1542.0,Pretos,Ondulados,Não,Solteiro (a),Juazeirinho,2021-05-14T11:00:00.000+0000,0
2,45-59,Masculino,PE,Vertente do Lério,Centro,897.0,Castanhos,Encaracolados,Não,Solteiro (a),Sousa,2023-02-18T10:00:00.000+0000,0
3,30-44,Masculino,PB,Umbuzeiro,UMBURETAMA,1544.0,Castanhos,Ondulados,Não,Solteiro (a),Umbuzeiro,2021-05-12T12:00:00.000+0000,0
4,18-29,Masculino,BA,Salvador,Manaira,1042.0,Pretos,Encaracolados,Não,Solteiro (a),João Pessoa,2022-09-26T11:00:00.000+0000,0
5,30-44,Masculino,PB,Campina Grande,Jardim Paulistano,579.0,Castanhos,Lisos,Não,Solteiro (a),Campina Grande,2024-01-02T18:17:00.000+0000,1
6,12-17,Feminino,PB,João Pessoa,Água Fria,752.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2023-07-12T23:15:00.000+0000,0
7,12-17,Masculino,PB,Campina Grande,Nossa Senhora da Conceição,2133.0,Pretos,Encaracolados,Não,Solteiro (a),Conde,2019-10-01T15:50:00.000+0000,0
8,18-29,Masculino,PB,Campina Grande,Zona Rural,991.0,Castanhos,Encaracolados,Não,Solteiro (a),Boa Vista,2022-11-16T02:00:00.000+0000,0
9,30-44,Masculino,PB,Campina Grande,Tambauzinho,818.0,Castanhos,Lisos,Não,Solteiro (a),João Pessoa,2023-05-08T11:30:00.000+0000,0
10,12-17,Masculino,PB,Campina Grande,Tambor,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
11,18-29,Masculino,RJ,Cabo Frio,Pedro Gondim,1036.0,Castanhos,Ondulados,Sim,Solteiro (a),João Pessoa,2022-10-02T10:22:00.000+0000,0
12,60+,Masculino,CE,Barro,Jardim São Paulo,5684.0,Pretos,Lisos,Não,Solteiro (a),Cajazeiras,2010-01-10T12:50:00.000+0000,0
13,45-59,Masculino,PB,João Pessoa,Ernani Sátiro,651.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2023-10-22T19:00:00.000+0000,0
14,45-59,Masculino,PB,Campina Grande,Catolé,970.0,Castanhos,Ondulados,Não,Divorciado (a),João Pessoa,2022-12-07T18:00:00.000+0000,0
15,30-44,Feminino,PE,TIMBAUBA,RUA COSTUREIRA RODRIGUES ALVES,796.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2023-05-30T08:00:00.000+0000,0
16,18-29,Masculino,PB,Patos,São Sebastião,1089.0,Castanhos,Lisos,Sim,Solteiro (a),Patos,2022-08-09T19:54:00.000+0000,0
17,30-44,Masculino,PB,Queimadas,Castanho,-1.0,Castanhos,Ondulados,Sim,Solteiro (a),Desconhecido,Desconhecido,0
18,18-29,Masculino,BA,Sobradinho,Valentina de Figueiredo,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
19,18-29,Masculino,RN,Natal,natal,2014.0,Castanhos,Lisos,Não,União Estável,Campina Grande,2020-01-28T12:06:00.000+0000,0
20,18-29,Masculino,PB,João Pessoa,Valentina de Figueiredo,1388.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2021-10-15T18:00:00.000+0000,0
21,18-29,Masculino,AL,Maceió,Mangabeira,1149.0,Verdes,Lisos,Não,Solteiro (a),João Pessoa,2022-06-11T10:00:00.000+0000,0
22,30-44,Masculino,PE,CARUARU,NOVA PALESTINA,1537.0,Castanhos,Lisos,Não,Casado (a),Cajazeiras,2021-05-19T10:00:00.000+0000,0
23,60+,Feminino,PB,João Pessoa,Gramame,589.0,Castanhos,Nenhuma das opções,Não,Casado (a),Desconhecido,2023-12-23T09:00:00.000+0000,0
24,18-29,Feminino,PB,João Pessoa,Bancários,1292.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2022-01-18T22:30:00.000+0000,0
25,12-17,Masculino,PB,Conde,Centro,1856.0,Castanhos,Lisos,Não,Solteiro (a),Conde,2020-07-03T20:00:00.000+0000,0
26,30-44,Masculino,PB,Mari,SILVINO COSTA,2223.0,Castanhos,Encaracolados,Não,Solteiro (a),Mari,2019-07-02T22:20:00.000+0000,0
27,0-11,Feminino,PB,Monteiro,Multirao,-1.0,Castanhos,Lisos,Sim,Solteiro (a),Desconhecido,Desconhecido,0
28,30-44,Masculino,BA,Salvador,Mussurunga 2,994.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,2022-11-13T15:00:00.000+0000,0
29,60+,Masculino,BA,Itabuna,Mangabeira,1248.0,Pretos,Lisos,Não,Casado (a),João Pessoa,2022-03-04T16:00:00.000+0000,0
30,60+,Masculino,PB,Santa Rita,Aldeia Monte Mor,1389.0,Verdes,Lisos,Não,Solteiro (a),Rio Tinto,2021-10-14T17:00:00.000+0000,0
31,60+,Masculino,PB,Itabaiana,Manaíra,2185.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,2019-08-10T12:30:00.000+0000,0
32,30-44,Masculino,PB,Patos,Centro,1206.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),Patos,2022-04-15T11:00:00.000+0000,0
33,30-44,Feminino,PB,Guarabira,Multirão,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
34,45-59,Masculino,PB,Sapé,ZONA RURAL,-1.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),Desconhecido,Desconhecido,0
35,45-59,Masculino,RN,Passa e Fica,Americanópolis,1499.0,Castanhos,Lisos,Não,Solteiro (a),Guarabira,2021-06-26T17:00:00.000+0000,0
36,18-29,Masculino,PB,Santa Rita,Tibiri 2,1332.0,Pretos,Encaracolados,Não,Solteiro (a),Santa Rita,2021-12-10T04:00:00.000+0000,0
37,30-44,Masculino,RN,Maxaranguape,CENTRO,1460.0,Castanhos,Lisos,Não,Solteiro (a),Pitimbu,2021-08-04T13:00:00.000+0000,0
38,45-59,Masculino,PB,Teixeira,Zona rural,1319.0,Pretos,Lisos,Não,Solteiro (a),Desconhecido,2021-12-23T02:00:00.000+0000,0
39,0-11,Masculino,PB,JOAO PESSOA,Ernesto Geisel,1314.0,Castanhos,Ondulados,Não,União Estável,Bayeux,2021-12-27T23:31:00.000+0000,0
40,18-29,Feminino,PB,JOAO PESSOA,PRAIA DE JACUMA,680.0,Pretos,Lisos,Sim,Solteiro (a),Conde,2023-09-23T17:55:00.000+0000,0
41,45-59,Masculino,RO,Porto Velho,Expedicionários,1773.0,Castanhos,Ondulados,Não,Casado (a),João Pessoa,2020-09-25T14:00:00.000+0000,0
42,60+,Masculino,PB,Esperança,Em situação de rua,1553.0,Azuis,Lisos,Não,Solteiro (a),Desconhecido,2021-05-03T03:00:00.000+0000,0
43,45-59,Feminino,PB,Patos,Jardim São Paulo,658.0,Castanhos,Ondulados,Não,Solteiro (a),João Pessoa,2023-10-15T10:00:00.000+0000,0
44,60+,Masculino,AL,Arapiraca,Catiapoa,961.0,Castanhos,Nenhuma das opções,Não,Viúvo (a),João Pessoa,2022-12-16T11:00:00.000+0000,0
45,45-59,Masculino,PB,Cajazeiras,Por do sol,1857.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,2020-07-03T16:00:00.000+0000,0
46,60+,Masculino,PB,Santa Rita,Centro,1899.0,Pretos,Lisos,Não,Divorciado (a),Bayeux,2020-05-22T09:10:00.000+0000,0
47,12-17,Feminino,PB,Campina Grande,Serrotão,793.0,Castanhos,Ondulados,Não,Solteiro (a),Campina Grande,2023-06-02T01:00:00.000+0000,0
48,30-44,Masculino,PB,Quixaba,Zona Rural,-1.0,Pretos,Nenhuma das opções,Não,Solteiro (a),Desconhecido,Desconhecido,0
49,30-44,Masculino,PB,João Pessoa,Gramame,614.0,Nenhuma das opções,Nenhuma das opções,Sim,Solteiro (a),João Pessoa,2023-11-27T21:00:00.000+0000,0
50,45-59,Masculino,PB,Aguiar,RURAL,1578.0,Castanhos,Encaracolados,Não,Divorciado (a),Aguiar,2021-04-08T18:30:00.000+0000,0
51,18-29,Masculino,PB,João Pessoa,Manaíra,-1.0,Verdes,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
52,60+,Masculino,PB,Santa Rita,GAMELEIRA,1308.0,Castanhos,Lisos,Não,Solteiro (a),Lucena,2022-01-03T09:00:00.000+0000,0
53,30-44,Masculino,RN,Río grande do Norte,Centro,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
54,45-59,Masculino,PB,Patos,Vila Tibiri,1754.0,Pretos,Ondulados,Não,Solteiro (a),Santa Rita,2020-10-14T11:30:00.000+0000,0
55,12-17,Masculino,PB,CAMPINA GRANDE,Nações,608.0,Castanhos,Encaracolados,Não,Solteiro (a),Campina Grande,2023-12-04T16:40:00.000+0000,0
56,30-44,Masculino,RJ,Rio de Janeiro,Padre Miguel,2418.0,Pretos,Ondulados,Não,Casado (a),Riachão,2018-12-20T15:30:00.000+0000,0
57,60+,Feminino,PB,João Pessoa,Roger,687.0,Pretos,Encaracolados,Não,Divorciado (a),João Pessoa,2023-09-16T12:00:00.000+0000,0
58,30-44,Masculino,PB,Patos,Planalto Boa Esperança,-1.0,Pretos,Nenhuma das opções,Não,Solteiro (a),Desconhecido,Desconhecido,0
59,30-44,Feminino,PB,João Pessoa,Valentina de Figueiredo,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
60,12-17,Masculino,PB,Sousa,SÃO GONÇALO,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
61,12-17,Masculino,SP,Diadema,Centro,1481.0,Castanhos,Carapinha,Não,Casado (a),Cajazeiras,2021-07-14T14:30:00.000+0000,0
62,30-44,Masculino,GO,Goiânia,Jardim Sorrilândia I,1413.0,Pretos,Lisos,Não,Solteiro (a),Sousa,2021-09-19T23:00:00.000+0000,0
63,18-29,Feminino,RN,Mossoró,Centro,680.0,Castanhos,Lisos,Sim,Solteiro (a),Conde,2023-09-23T17:55:00.000+0000,0
64,60+,Feminino,PB,CAMPINA GRANDE,PEDREGAL,-1.0,Verdes,Lisos,Não,Viúvo (a),Desconhecido,Desconhecido,0
65,12-17,Feminino,PB,Sousa,Estação,-1.0,Castanhos,Encaracolados,Sim,Solteiro (a),Desconhecido,Desconhecido,0
66,12-17,Feminino,PB,Campina grande,Aluízio campos,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
67,60+,Masculino,SC,Blumenau,JACUMÃ,1394.0,Verdes,Nenhuma das opções,Não,Solteiro (a),Conde,2021-10-09T03:00:00.000+0000,0
68,12-17,Feminino,PB,João Pessoa,SEM BAIRRO,5138.0,Castanhos,Lisos,Não,Solteiro (a),Pedras de Fogo,2011-07-09T21:00:00.000+0000,0
69,45-59,Masculino,PB,Pilar,Marcos Moura,1516.0,Pretos,Carapinha,Não,Solteiro (a),Santa Rita,2021-06-09T13:03:00.000+0000,0
70,45-59,Masculino,PB,João Pessoa,Cuiá,-1.0,Pretos,Carapinha,Não,Casado (a),Desconhecido,Desconhecido,0
71,30-44,Masculino,SP,Guarulhos,Jardim oceania,757.0,Pretos,Nenhuma das opções,Não,Solteiro (a),João Pessoa,2023-07-07T21:00:00.000+0000,0
72,30-44,Masculino,PB,João Pessoa,Cruz das Armas,1466.0,Castanhos,Lisos,Não,Solteiro (a),João Pessoa,2021-07-29T17:30:00.000+0000,0
73,18-29,Masculino,PB,Picuí,Centro,1876.0,Pretos,Lisos,Não,Solteiro (a),Picuí,2020-06-14T02:45:00.000+0000,0
74,45-59,Masculino,PB,joao pessoa,Jardim Oceania,1154.0,Castanhos,Lisos,Não,Casado (a),Desconhecido,2022-06-06T16:00:00.000+0000,0
75,12-17,Feminino,PB,João Pessoa,Jaguaribe,1085.0,Pretos,Encaracolados,Sim,Solteiro (a),João Pessoa,2022-08-13T21:00:00.000+0000,0
76,45-59,Masculino,PB,Bayeux,Gramame,1350.0,Nenhuma das opções,Lisos,Não,Solteiro (a),João Pessoa,2021-11-22T16:00:00.000+0000,0
77,45-59,Masculino,PB,Queimadas,Castanho de cima,-1.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),Desconhecido,Desconhecido,0
78,12-17,Feminino,PB,JOAO PESSOA,Varjão,-1.0,Castanhos,Encaracolados,Não,Solteiro (a),Desconhecido,Desconhecido,0
79,45-59,Masculino,PB,Joao Pessoa,Estados,954.0,Castanhos,Nenhuma das opções,Não,Viúvo (a),João Pessoa,2022-12-23T00:06:00.000+0000,0
80,18-29,Feminino,PB,Rio Tinto,MIRAMAR,469.0,Verdes,Ondulados,Não,Solteiro (a),João Pessoa,2024-04-21T00:25:00.000+0000,0
81,30-44,Masculino,PB,João pessoa,Gramame,1669.0,Castanhos,Lisos,Sim,Casado (a),João Pessoa,2021-01-06T21:00:00.000+0000,0
82,30-44,Masculino,PB,Joao pessoa,Castelo Branco,413.0,Castanhos,Nenhuma das opções,Não,Divorciado (a),Desconhecido,2024-06-16T00:50:00.000+0000,0
83,12-17,Masculino,PB,joao pessoa,Gramame,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
84,30-44,Masculino,PB,Cuité,Santo Antônio,4091.0,Castanhos,Lisos,Não,Casado (a),Campina Grande,2014-05-22T12:00:00.000+0000,0
85,12-17,Masculino,PB,João Pessoa,Jaguaribe,1085.0,Pretos,Carapinha,Sim,Solteiro (a),João Pessoa,2022-08-13T21:00:00.000+0000,0
86,45-59,Feminino,SP,São Paulo,Tambauzinho,702.0,Castanhos,Lisos,Não,Solteiro (a),João Pessoa,2023-09-01T19:22:00.000+0000,0
87,60+,Masculino,PB,Santa Rita,Centro,1820.0,Castanhos,Lisos,Não,Viúvo (a),Santa Rita,2020-08-08T22:57:00.000+0000,0
88,30-44,Masculino,PE,MARAIAL,ROÇADINHO,1954.0,Castanhos,Lisos,Não,Casado (a),Desconhecido,2020-03-27T20:00:00.000+0000,0
89,12-17,Feminino,PB,Cabedelo,Ponta de Matos,-1.0,Castanhos,Lisos,Sim,Solteiro (a),Desconhecido,Desconhecido,0
90,30-44,Masculino,DF,GAMA,Malvinas,1837.0,Pretos,Encaracolados,Não,Solteiro (a),Campina Grande,2020-07-23T12:00:00.000+0000,0
91,30-44,Masculino,PB,Patos,Santo Antônio,1282.0,Castanhos,Encaracolados,Não,Solteiro (a),Patos,2022-01-29T00:30:00.000+0000,0
92,45-59,Feminino,PB,Campina Grande,Ernesto Geisel,4119.0,Castanhos,Lisos,Não,Casado (a),João Pessoa,2014-04-24T18:00:00.000+0000,0
